month,year,inflation_rate_pct,food_inflation_pct,energy_inflation_pct,category
January,2024,6.4,8.1,5.2,High
February,2024,5.9,7.5,4.8,Moderate
March,2024,5.1,6.8,4.1,Moderate
April,2024,4.7,6.2,3.9,Moderate
May,2024,4.2,5.7,3.5,Moderate
June,2024,3.8,5.1,3.0,Low
July,2024,3.5,4.8,2.8,Low
August,2024,3.1,4.3,2.5,Low
September,2024,2.9,4.0,2.3,Low
October,2024,2.7,3.7,2.1,Low
November,2024,2.4,3.4,1.9,Low
December,2024,2.1,3.1,1.7,Low
January,2025,1.9,2.8,1.5,Low
February,2025,1.7,2.5,1.3,Low
March,2025,2.0,2.9,1.6,Low
April,2025,2.3,3.2,1.8,Low
May,2025,2.6,3.5,2.0,Low
June,2025,2.9,3.8,2.2,Low
July,2025,3.2,4.1,2.5,Moderate
August,2025,3.5,4.4,2.7,Moderate
September,2025,3.7,4.7,2.9,Moderate
October,2025,3.9,4.9,3.1,Moderate
November,2025,4.1,5.2,3.3,Moderate
December,2025,4.3,5.5,3.5,Moderate
